Id,Label,timeset,indegree,outdegree,Degree,weighted indegree,weighted outdegree,Weighted Degree,Eccentricity,closnesscentrality,harmonicclosnesscentrality,betweenesscentrality,modularity_class,asdfasf
Tormay Cécile,Tormay Cécile,,0,19,238,0,19,19,2,0.568312,0.620202,0.006251,0,
Komáromi János,Komáromi János,,0,38,373,0,40,40,2,0.616055,0.688384,0.027418,1,
Aradi-Szabó István,Aradi-Szabó István,,0,3,54,0,6,6,3,0.512422,0.526263,0.000145,1,
Hekler Antal,Hekler Antal,,0,12,174,0,15,15,2,0.548173,0.587879,0.004658,0,
Vargha Gyula,Vargha Gyula,,0,19,202,0,24,24,2,0.556805,0.60202,0.003188,0,
Szekfű Gyula,Szekfű Gyula,,0,20,245,0,24,24,2,0.570605,0.623737,0.005291,0,
Nadányi Zoltán,Nadányi Zoltán,,0,1,19,0,1,1,3,0.449183,0.468687,0,0,
Mariay Ödön,Mariay Ödön,,0,38,337,0,46,46,2,0.602556,0.670202,0.013426,2,
Mészöly Gedeon,Mészöly Gedeon,,0,5,76,0,6,6,2,0.519958,0.538384,0.000281,0,
Molter Károly,Molter Károly,,0,1,19,0,1,1,3,0.449183,0.468687,0,0,
Berde Mária,Berde Mária,,0,2,43,0,2,2,3,0.500506,0.514815,0.000042,0,
Pauler Ákos,Pauler Ákos,,0,15,205,0,19,19,2,0.557746,0.603535,0.003382,0,
Horváth János,Horváth János,,0,18,222,0,22,22,2,0.56314,0.612121,0.003758,0,
Kodály Zoltán,Kodály Zoltán,,0,3,68,0,3,3,2,0.517782,0.534343,0.000243,0,
Kuncz Aladár,Kuncz Aladár,,0,3,68,0,4,4,3,0.509259,0.528956,0.000121,0,
Galamb Sándor,Galamb Sándor,,0,77,539,0,96,96,2,0.687023,0.772222,0.048963,0,
Szabó Miklós,Szabó Miklós,,0,6,99,0,6,6,2,0.526316,0.55,0.000509,0,
Brisits Frigyes,Brisits Frigyes,,0,35,373,0,39,39,2,0.616055,0.688384,0.018271,0,
Gragger Róbert,Gragger Róbert,,0,1,19,0,1,1,3,0.449183,0.468687,0,0,
Farkas Gyula,Farkas Gyula,,0,22,241,0,24,24,2,0.569293,0.621717,0.005665,0,
