Id,Label,timeset,indegree,outdegree,Degree,weighted indegree,weighted outdegree,Weighted Degree,modularity_class,Eccentricity,closnesscentrality,harmonicclosnesscentrality,betweenesscentrality,dff
Ignotus,Ignotus,,0,276,637,0,473,473,2,2,0.662749,0.745567,0.038984,false
Elek Artúr,Elek Artúr,,0,196,657,0,275,275,22,2,0.669592,0.753277,0.035415,false
Jób Dániel,Jób Dániel,,0,3,42,0,12,12,2,2,0.508229,0.516191,0.000016,false
Lengyel Géza,Lengyel Géza,,0,113,366,0,178,178,3,2,0.582136,0.641095,0.006271,false
Ady Endre,Ady Endre,,0,214,452,0,689,689,3,2,0.605509,0.674248,0.017611,false
Szini Gyula,Szini Gyula,,0,97,383,0,168,168,10,2,0.586612,0.647648,0.0076,false
Révész Béla,Révész Béla,,0,39,289,0,42,42,13,2,0.56269,0.611411,0.002948,false
Szász Zoltán,Szász Zoltán,,0,23,142,0,46,46,2,2,0.528956,0.554742,0.000787,false
Kemény Simon,Kemény Simon,,0,22,161,0,33,33,0,2,0.533087,0.562066,0.000523,false
Greiner Jenő,Greiner Jenő,,0,1,14,0,1,1,2,3,0.464708,0.478283,0,false
Fenyő Miksa,Fenyő Miksa,,0,135,463,0,206,206,0,2,0.608634,0.678489,0.014835,false
Gellért Oszkár,Gellért Oszkár,,0,187,642,0,347,347,6,2,0.664447,0.747494,0.033574,false
Fröhlichné Kaffka Margit,Fröhlichné Kaffka Margit,,0,12,57,0,12,12,3,2,0.511234,0.521974,0.000079,false
Bródy Miksa,Bródy Miksa,,0,13,87,0,13,13,3,2,0.517351,0.533539,0.000112,false
Csáth Géza,Csáth Géza,,0,33,138,0,104,104,2,2,0.528094,0.5532,0.000548,false
Cholnoky Viktor,Cholnoky Viktor,,0,10,53,0,11,11,6,2,0.510429,0.520432,0.000033,false
Hatvany Lajos,Hatvany Lajos,,0,49,206,0,100,100,0,2,0.543132,0.579414,0.001382,false
Bíró Lajos,Bíró Lajos,,0,13,106,0,36,36,6,2,0.521302,0.540864,0.000311,false
Balázs Béla,Balázs Béla,,0,54,190,0,92,92,3,2,0.539517,0.573246,0.001461,false
Pásztor Árpád,Pásztor Árpád,,0,33,199,0,42,42,3,2,0.541545,0.576715,0.001093,false
Nagy Endre,Nagy Endre,,0,58,366,0,130,130,17,2,0.582136,0.641095,0.004608,false
Juhász Gyula,Juhász Gyula,,0,24,203,0,45,45,3,2,0.542451,0.578258,0.001369,false
Bányai Elemér,Bányai Elemér,,0,1,14,0,1,1,6,3,0.461074,0.475456,0,false
Bárdos Artúr,Bárdos Artúr,,0,36,191,0,65,65,3,2,0.539742,0.573631,0.00133,false
Kabos Ede,Kabos Ede,,0,8,82,0,30,30,1,2,0.516322,0.531611,0.000108,false
Kéri Pál,Kéri Pál,,0,16,99,0,18,18,3,2,0.51984,0.538165,0.000268,false
Salgó Ernő,Salgó Ernő,,0,5,47,0,9,9,3,2,0.509227,0.518119,0.000019,false
Lesznai Anna,Lesznai Anna,,0,47,299,0,100,100,2,2,0.565142,0.615266,0.004614,false
Kosztolányi  Dezső,Kosztolányi  Dezső,,0,3,35,0,4,4,1,3,0.506443,0.513236,0.000022,false
Lukács György,Lukács György,,0,15,88,0,47,47,2,2,0.517558,0.533924,0.000142,false
Szép Ernő,Szép Ernő,,0,82,418,0,123,123,19,2,0.596048,0.661141,0.010171,false
Lengyel Menyhért,Lengyel Menyhért,,0,111,396,0,175,175,3,2,0.590082,0.65266,0.009272,false
Meller Simon,Meller Simon,,0,2,24,0,2,2,15,3,0.495038,0.502827,0.000002,false
Schöpflin Aladár,Schöpflin Aladár,,0,437,1081,0,802,802,23,2,0.857237,0.916731,0.161497,false
Kúnfi Zsigmond,Kúnfi Zsigmond,,0,1,9,0,1,1,22,3,0.498463,0.501285,0,false
Miklós Jenő,Miklós Jenő,,0,7,130,0,9,9,3,2,0.52638,0.550116,0.000105,false
Alkalay Ödön,Alkalay Ödön,,0,20,173,0,20,20,22,2,0.535729,0.566692,0.000639,false
Reichard Piroska,Reichard Piroska,,0,52,391,0,77,77,17,2,0.588743,0.650732,0.008063,false
Lánczi Jenő,Lánczi Jenő,,0,10,62,0,10,10,4,2,0.512243,0.523901,0.000044,false
Nagy János,Nagy János,,0,9,73,0,11,11,16,2,0.514478,0.528142,0.000051,false
Kupcsay Felicián,Kupcsay Felicián,,0,3,96,0,8,8,2,2,0.519215,0.537008,0.000016,false
Fröhlichné Kkaffka Margit,Fröhlichné Kkaffka Margit,,0,1,12,0,1,1,3,3,0.498654,0.502185,0,false
Nagy Lajos,Nagy Lajos,,0,103,477,0,146,146,8,2,0.612659,0.683886,0.014705,false
Lovik Károly,Lovik Károly,,0,3,31,0,5,5,3,3,0.505062,0.511308,0.000005,false
Biró Lajos,Biró Lajos,,0,18,121,0,43,43,3,2,0.524464,0.546646,0.000551,false
Szomory Dezső,Szomory Dezső,,0,41,229,0,62,62,3,2,0.548414,0.588281,0.001437,false
Léon Blum,Léon Blum,,0,1,10,0,1,1,3,3,0.457819,0.471858,0,false
Peterdi István,Peterdi István,,0,34,221,0,53,53,3,2,0.546566,0.585197,0.00137,false
Charmides,Charmides,,0,1,15,0,1,1,3,3,0.470439,0.482909,0,false
Bodor Aladár,Bodor Aladár,,0,3,32,0,3,3,3,3,0.500966,0.508867,0.000006,false
Oláh Gábor,Oláh Gábor,,0,14,123,0,29,29,2,2,0.524889,0.547417,0.000484,false
Mohácsi Jenő,Mohácsi Jenő,,0,41,275,0,77,77,18,2,0.559293,0.606014,0.002662,false
Bresztovszky Ernő,Bresztovszky Ernő,,0,10,56,0,13,13,3,3,0.510429,0.521203,0.000029,false
Tátray Lajos,Tátray Lajos,,0,1,9,0,1,1,6,3,0.491102,0.496273,0,false
Rónai Mihály,Rónai Mihály,,0,2,33,0,2,2,3,3,0.505259,0.511951,0.00002,false
Szilasi Vilmos,Szilasi Vilmos,,0,5,57,0,14,14,17,3,0.511032,0.521845,0.000033,false
Antal Sándor,Antal Sándor,,0,1,15,0,1,1,1,3,0.453973,0.470059,0,false
Telekes Béla,Telekes Béla,,0,15,162,0,17,17,13,2,0.533306,0.562452,0.000435,false
Pók Ödön,Pók Ödön,,0,2,30,0,2,2,1,3,0.498846,0.506939,0.000006,false
Laczkó Géza,Laczkó Géza,,0,171,567,0,345,345,7,2,0.639862,0.718581,0.02503,false
Lackó Géza,Lackó Géza,,0,5,55,0,5,5,13,2,0.510831,0.521203,0.000059,false
Móricz Zsigmond,Móricz Zsigmond,,0,240,752,0,477,477,1,2,0.704126,0.7899,0.051016,false
Moličre,Moličre,,0,4,26,0,5,5,0,3,0.503885,0.509252,0.000002,false
Ambrus Zoltán,Ambrus Zoltán,,0,84,242,0,153,153,3,2,0.551446,0.593292,0.00308,false
Bálint Aladár,Bálint Aladár,,0,190,483,0,320,320,3,2,0.614401,0.686199,0.018593,false
Hegedűs Gyula,Hegedűs Gyula,,0,11,88,0,22,22,3,2,0.517558,0.533924,0.000168,false
Babits Mihály,Babits Mihály,,0,275,814,0,797,797,0,2,0.728652,0.813801,0.065713,false
Cholnoky László,Cholnoky László,,0,10,77,0,37,37,14,2,0.515296,0.529684,0.000206,false
Baumgarten Ferenc,Baumgarten Ferenc,,0,2,31,0,5,5,22,3,0.50585,0.511822,0.000005,false
Füst Milán,Füst Milán,,0,140,569,0,225,225,20,2,0.640494,0.719352,0.023801,false
Kosztolányi Dezső,Kosztolányi Dezső,,0,212,699,0,587,587,13,2,0.684433,0.769468,0.039494,false
Aristophanes,Aristophanes,,0,1,14,0,1,1,3,3,0.497698,0.502056,0,false
Tóth Árpád,Tóth Árpád,,0,85,357,0,160,160,3,2,0.579794,0.637625,0.006149,false
Fémes Beck Vilmos,Fémes Beck Vilmos,,0,6,59,0,6,6,0,2,0.511637,0.522745,0.000035,false
Gyulai Pál,Gyulai Pál,,0,6,58,0,50,50,0,2,0.511435,0.522359,0.000093,false
