Target;Source
 00001; Ignotus
 00001; Elek Artúr
 00001; Jób Dániel
 00001; Jób Dániel
 00001; Jób Dániel
 00001; Jób Dániel
 00001; Jób Dániel
 00001; Jób Dániel
 00001; Jób Dániel
 00001; Lengyel Géza
 00001; Ady Endre
 00001; Szini Gyula
 00001; Révész Béla
 00001; Szász Zoltán
 00001; Ady Endre
 00001; Kemény Simon
 00001; Ignotus
 00001; Greiner Jenő
 00001; Fenyő Miksa
 00001; Gellért Oszkár
 00001; Fröhlichné Kaffka Margit
 00001; Fenyő Miksa
 00001; Lengyel Géza
 00001; Lengyel Géza
 00001; Bródy Miksa
 00001; Ignotus
 00001; Csáth Géza
 00001; Gellért Oszkár
 00002; Cholnoky Viktor
 00002; Gellért Oszkár
 00002; Ady Endre
 00002; Ady Endre
 00002; Hatvany Lajos
 00002; Hatvany Lajos
 00002; Hatvany Lajos
 00002; Lengyel Géza
 00002; Bíró Lajos
 00002; Bíró Lajos
 00002; Bíró Lajos
 00002; Bíró Lajos
 00002; Bíró Lajos
 00002; Bíró Lajos
 00002; Balázs Béla
 00002; Balázs Béla
 00002; Ady Endre
 00002; Fenyő Miksa
 00002; Hatvany Lajos
 00002; Pásztor Árpád
 00002; Ignotus
 00002; Lengyel Géza
 00002; Ignotus
 00002; Gellért Oszkár
 00002; Fenyő Miksa
 00002; Nagy Endre
 00003; Elek Artúr
 00003; Bíró Lajos
 00003; Bíró Lajos
 00003; Bíró Lajos
 00003; Bíró Lajos
 00003; Bíró Lajos
 00003; Bíró Lajos
 00003; Bíró Lajos
 00003; Bíró Lajos
 00003; Bíró Lajos
 00003; Cholnoky Viktor
 00003; Ignotus
 00003; Kemény Simon
 00003; Kemény Simon
 00003; Fröhlichné Kaffka Margit
 00003; Hatvany Lajos
 00003; Hatvany Lajos
 00003; Ady Endre
 00003; Gellért Oszkár
 00003; Gellért Oszkár
 00003; Gellért Oszkár
 00003; Juhász Gyula
 00003; Szini Gyula
 00003; Ignotus
 00003; Bányai Elemér
 00003; Lengyel Géza
 00003; Bródy Miksa
 00003; Bárdos Artúr
 00003; Kemény Simon
 00004; Szini Gyula
 00004; Ady Endre
 00004; Kabos Ede
 00004; Kéri Pál
 00004; Lengyel Géza
 00004; Hatvany Lajos
 00004; Cholnoky Viktor
 00004; Ady Endre
 00004; Ady Endre
 00004; Ady Endre
 00004; Ady Endre
 00004; Gellért Oszkár
 00004; Gellért Oszkár
 00004; Gellért Oszkár
 00004; Ignotus
 00004; Salgó Ernő
 00004; Lengyel Géza
 00005; Cholnoky Viktor
 00005; Lesznai Anna
 00005; Lesznai Anna
 00005; Lesznai Anna
 00005; Lesznai Anna
 00005; Lesznai Anna
 00005; Lesznai Anna
 00005; Lesznai Anna
 00005; Jób Dániel
 00005; Jób Dániel
 00005; Jób Dániel
 00005; Jób Dániel
 00005; Hatvany Lajos
 00005; Ady Endre
 00005; Szini Gyula
 00005; Fenyő Miksa
 00005; Fenyő Miksa
 00005; Fenyő Miksa
 00005; Fenyő Miksa
 00005; Fenyő Miksa
 00005; Kemény Simon
 00005; Ady Endre
 00005; Ady Endre
 00005; Ady Endre
 00005; Kosztolányi  Dezső
 00005; Balázs Béla
 00005; Ignotus
 00005; Fröhlichné Kaffka Margit
 00005; Ignotus
 00005; Csáth Géza
 00005; Csáth Géza
 00006; Elek Artúr
 00006; Elek Artúr
 00006; Elek Artúr
 00006; Elek Artúr
 00006; Elek Artúr
 00006; Gellért Oszkár
 00006; Gellért Oszkár
 00006; Ady Endre
 00006; Lukács György
 00006; Lukács György
 00006; Lukács György
 00006; Lukács György
 00006; Lukács György
 00006; Lukács György
 00006; Ignotus
 00006; Ignotus
 00006; Ignotus
 00006; Fenyő Miksa
 00006; Cholnoky Viktor
 00006; Szép Ernő
 00006; Szép Ernő
 00006; Szász Zoltán
 00006; Lengyel Menyhért
 00006; Lengyel Géza
 00006; Meller Simon
 00006; Szász Zoltán
 00007; Schöpflin Aladár
 00007; Fröhlichné Kaffka Margit
 00007; Fenyő Miksa
 00007; Kúnfi Zsigmond
 00007; Gellért Oszkár
 00007; Elek Artúr
 00007; Elek Artúr
 00007; Elek Artúr
 00007; Ady Endre
 00007; Ady Endre
 00007; Ady Endre
 00007; Ignotus
 00007; Lengyel Géza
 00007; Szász Zoltán
 00007; Gellért Oszkár
 00008; Ignotus
 00008; Gellért Oszkár
 00008; Miklós Jenő
 00008; Miklós Jenő
 00008; Miklós Jenő
 00008; Hatvany Lajos
 00008; Ady Endre
 00008; Ady Endre
 00008; Fröhlichné Kaffka Margit
 00008; Bródy Miksa
 00008; Lengyel Géza
 00008; Bíró Lajos
 00008; Balázs Béla
 00008; Balázs Béla
 00008; Balázs Béla
 00008; Balázs Béla
 00008; Ignotus
 00008; Lengyel Menyhért
 00008; Hatvany Lajos
 00008; Fenyő Miksa
 00008; Lengyel Géza
 00009; Ady Endre
 00009; Ady Endre
 00009; Alkalay Ödön
 00009; Lengyel Géza
 00009; Ignotus
 00009; Hatvany Lajos
 00009; Csáth Géza
 00009; Balázs Béla
 00009; Gellért Oszkár
 00009; Gellért Oszkár
 00009; Lengyel Géza
 00009; Csáth Géza
 00009; Bíró Lajos
 00009; Balázs Béla
 00009; Ignotus
 00009; Cholnoky Viktor
 00010; Schöpflin Aladár
 00010; Lengyel Géza
 00010; Reichard Piroska
 00010; Reichard Piroska
 00010; Reichard Piroska
 00010; Balázs Béla
 00010; Szép Ernő
 00010; Gellért Oszkár
 00010; Ady Endre
 00010; Lánczi Jenő
 00010; Ignotus
 00010; Nagy János
 00010; Szini Gyula
 00010; Ady Endre
 00010; Ady Endre
 00010; Ady Endre
 00010; Hatvany Lajos
 00010; Ignotus
 00010; Cholnoky Viktor
 00010; Gellért Oszkár
 00010; Lengyel Géza
 00010; Szász Zoltán
 00010; Gellért Oszkár
 00011; Schöpflin Aladár
 00011; Ignotus
 00011; Ignotus
 00011; Ignotus
 00011; Ignotus
 00011; Kemény Simon
 00011; Lengyel Menyhért
 00011; Fenyő Miksa
 00011; Kupcsay Felicián
 00011; Kupcsay Felicián
 00011; Kupcsay Felicián
 00011; Kupcsay Felicián
 00011; Kupcsay Felicián
 00011; Ady Endre
 00011; Ady Endre
 00011; Ady Endre
 00011; Lengyel Géza
 00011; Ignotus
 00011; Elek Artúr
 00011; Lengyel Géza
 00012; Elek Artúr
 00012; Elek Artúr
 00012; Ignotus
 00012; Szász Zoltán
 00012; Kupcsay Felicián
 00012; Kupcsay Felicián
 00012; Ady Endre
 00012; Ady Endre
 00012; Ady Endre
 00012; Gellért Oszkár
 00012; Gellért Oszkár
 00012; Szini Gyula
 00012; Lengyel Géza
 00012; Fröhlichné Kkaffka Margit
 00012; Bródy Miksa
 00012; Pásztor Árpád
 00012; Schöpflin Aladár
 00012; Ady Endre
 00012; Bíró Lajos
 00013; Schöpflin Aladár
 00013; Ady Endre
 00013; Ady Endre
 00013; Nagy Lajos
 00013; Lovik Károly
 00013; Lengyel Géza
 00013; Balázs Béla
 00013; Gellért Oszkár
 00013; Gellért Oszkár
 00013; Gellért Oszkár
 00013; Fenyő Miksa
 00013; Lánczi Jenő
 00013; Bárdos Artúr
 00014; Ignotus
 00014; Biró Lajos
 00014; Szomory Dezső
 00014; Reichard Piroska
 00014; Reichard Piroska
 00014; Gellért Oszkár
 00014; Léon Blum
 00014; Ady Endre
 00014; Ady Endre
 00014; Ady Endre
 00014; Szini Gyula
 00014; Fröhlichné Kaffka Margit
 00014; Ady Endre
 00014; Lengyel Géza
 00014; Fenyő Miksa
 00014; Gellért Oszkár
 00015; Hatvany Lajos
 00015; Peterdi István
 00015; Gellért Oszkár
 00015; Charmides
 00015; Ignotus
