Target;Source
﻿1923-01-01;Tormay Cécile
﻿1923-01-01;Komáromi János
﻿1923-01-01;Aradi-Szabó István
﻿1923-01-01;Aradi-Szabó István
﻿1923-01-01;Hekler Antal
﻿1923-01-01;Vargha Gyula
﻿1923-01-01;Vargha Gyula
﻿1923-01-01;Vargha Gyula
﻿1923-01-01;Szekfű Gyula
﻿1923-01-01;Nadányi Zoltán
﻿1923-01-01;Mariay Ödön
﻿1923-01-01;Mészöly Gedeon
﻿1923-01-01;Molter Károly
﻿1923-01-01;Berde Mária
﻿1923-01-01;Pauler Ákos
﻿1923-01-01;Mészöly Gedeon
﻿1923-01-01;Horváth János
﻿1923-01-01;Kodály Zoltán
﻿1923-01-01;Kuncz Aladár
﻿1923-01-01;Galamb Sándor
﻿1923-01-01;Szabó Miklós
﻿1923-01-01;Brisits Frigyes
﻿1923-01-01;Gragger Róbert
﻿1923-01-01;Szekfű Gyula
﻿1923-01-01;Horváth János
﻿1923-01-01;Galamb Sándor
﻿1923-01-01;Kuncz Aladár
﻿1923-01-01;Farkas Gyula
1923-02-01;Horváth János
1923-02-01;Boross Sándor
1923-02-01;Komáromi János
1923-02-01;Graff Kálmán
1923-02-01;Kürthy György
1923-02-01;Zilahy Lajos
1923-02-01;Boross Sándor
1923-02-01;Herczeg Ferenc
1923-02-01;Bartóky József
1923-02-01;Réz Gyula
1923-02-01;Tormay Cécile
1923-02-01;Csöndes Pál
1923-02-01;Petrovics Elek
1923-02-01;B. Podmaniczky Pálné
1923-02-01;Pauler Ákos
1923-02-01;Graff Kálmán
1923-02-01;Réz Gyula
1923-02-01;Balogh Jenő
1923-02-01;Tolnai Vilmos
1923-02-01;Koszó János
1923-02-01;Pauler Ákos
1923-02-01;Tolnai Vilmos
1923-02-01;Galamb Sándor
1923-02-01;Lukcsics Pál
1923-02-01;Voinovich Géza
1923-02-01;Hartmann János
1923-02-01;Keleti Artúr
1923-02-01;Zsigmond Ferenc
1923-02-01;Rédey Tivadar
1923-02-01;Galamb Sándor
1923-02-01;Szekfű Gyula
1923-02-01;Németh Gyula
1923-02-01;Koszó János
1923-02-01;Eckhardt Sándor
1923-02-01;Kastner Jenő
1923-03-01;Komáromi János
1923-03-01;Erdélyi József
1923-03-01;Tormay Cécile
1923-03-01;Kortsák Jenő
1923-03-01;Hekler Antal
1923-03-01;Horváth János
1923-03-01;Erdélyi József
1923-03-01;Dóczy Jenő
1923-03-01;Aradi-Szabó István
1923-03-01;Tolnai Vilmos
1923-03-01;Vargha Gyula
1923-03-01;Galamb Sándor
1923-03-01;Vitnyédi Németh István
1923-03-01;Tolnai Vilmos
1923-03-01;Brisits Frigyes
1923-03-01;Baros Gyula
1923-03-01;Vajthó László
1923-03-01;Farkas Gyula
1923-03-01;Walther von Molo
1923-03-01;Szávay Gyula és Géczy István
1923-03-01;Koszó János
1923-03-01;Schmidt Henrik
1923-03-01;Galamb Sándor
1923-03-01;Ölvedi László
1923-03-01;Farkas Gyula
1923-03-01;Kastner Jenő
1923-03-01;Hekler Antal
1923-04-01;Komáromi János
1923-04-01;Szekfű Gyula
1923-04-01;Rédey Tivadar
1923-04-01;Gyallay Domokos
1923-04-01;Vitnyédi Németh István
1923-04-01;Novák Sándor
1923-04-01;Carton, Sidney
1923-04-01;Mészáros Sándor
1923-04-01;Ölvedi László
1923-04-01;Szilárd János
1923-04-01;Missik Endre
1923-04-01;Horváth János
1923-04-01;Kacsó Sándor
1923-04-01;Walter Gyula
1923-04-01;Szekfű Gyula
1923-04-01;Eckhardt Sándor
1923-04-01;Tolnai Vilmos
1923-04-01;Vajthó László
1923-04-01;Horváth János
1923-04-01;Brisits Frigyes
1923-04-01;Pais Dezső
1923-04-01;Hertmann János
1923-04-01;Tolnai Vilmos
1923-04-01;Czakó István
1923-04-01;Szinnyei Ferenc
1923-04-01;Mályusz Elemér
1923-04-01;Ferrero, A.
